Rank,Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
43,2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 400, 'num_layers': 1, 'dropout_rate': 0.2645790322399053, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0009432838457646077, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.4210712501066931, 'accuracy': 0.61991341991342}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.47619047619047616]",0.7627705627705628,5613602.0,4.829085397720337
44,3,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 204, 'num_layers': 2, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 1.4856462037322696e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.31984100970468166, 'accuracy': 0.5476190476190477}","[0.9090909090909091, 0.6666666666666666, 0.6190476190476191, 0.9047619047619048, 0.7142857142857143]",0.7627705627705628,3425162.0,4.659557819366455
45,2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 84, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 5.248074602497723e-06, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.47583011455709034, 'accuracy': 0.6614718614718614}","[0.9090909090909091, 0.7142857142857143, 0.9523809523809523, 0.7142857142857143, 0.5238095238095238]",0.7627705627705628,886874.0,3.449885845184326
46,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 267, 'num_layers': 1, 'dropout_rate': 0.11683081355001318, 'bidirectional': True, 'attention': True, 'learning_rate': 1.3323361244149368e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.6445417857423514, 'accuracy': 0.7922077922077921}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.7142857142857143, 0.6190476190476191]",0.7627705627705628,3355123.0,3.2448942184448244
47,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 179, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 2.3197319272183983e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5181235119450215, 'accuracy': 0.6961038961038961}","[0.9090909090909091, 0.7619047619047619, 0.9047619047619048, 0.5238095238095238, 0.7142857142857143]",0.7627705627705628,2076043.0,3.3198532104492187
48,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 145, 'num_layers': 1, 'dropout_rate': 0.19239312453740157, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0001459116220621738, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.608310047850147, 'accuracy': 0.7640692640692641}","[0.9090909090909091, 0.6666666666666666, 0.9523809523809523, 0.6190476190476191, 0.6666666666666666]",0.7627705627705627,1627481.0,2.5050608634948732
49,9,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.30006362488776134, 'bidirectional': True, 'attention': True, 'learning_rate': 4.3051162024993437e-05, 'batch_size': 32, 'weight_decay': 1e-05}","[0.9090909090909091, 0.42857142857142855, 0.9047619047619048, 0.9047619047619048, 0.6666666666666666]",0.7627705627705627,665794.0,3.2450585842132567
50,6,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 341, 'num_layers': 1, 'dropout_rate': 0.20324183943402693, 'bidirectional': False, 'attention': True, 'learning_rate': 3.918271344157694e-06, 'batch_size': 64, 'weight_decay': 5e-05, 'fitness': 0.6446541922637208, 'accuracy': 0.7818181818181817}","[0.9545454545454546, 0.6666666666666666, 0.6190476190476191, 0.9047619047619048, 0.6666666666666666]",0.7623376623376623,4680909.0,2.502712440490723
51,6,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 243, 'num_layers': 1, 'dropout_rate': 0.3133097084648233, 'bidirectional': True, 'attention': True, 'learning_rate': 2.3044056210195347e-05, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.5828633308156135, 'accuracy': 0.7541125541125541}","[0.9545454545454546, 0.5238095238095238, 0.9523809523809523, 0.6190476190476191, 0.7619047619047619]",0.7623376623376623,3049895.0,5.514083528518677
52,3,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 3, 'dropout_rate': 0.35561509312485695, 'bidirectional': False, 'attention': True, 'learning_rate': 0.001959073915348745, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.68819096844784, 'accuracy': 0.8199134199134198}","[0.5909090909090909, 0.6666666666666666, 0.9047619047619048, 0.9047619047619048, 0.7142857142857143]",0.7562770562770563,20415490.0,4.576355504989624
