Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 199, 'num_layers': 2, 'dropout_rate': 0.43102291700743905, 'bidirectional': True, 'attention': True, 'learning_rate': 8.705505632961248e-05, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.18055123968892722, 'accuracy': 0.4051948051948052}","[0.6363636363636364, 0.38095238095238093, 0.9523809523809523, 0.6190476190476191, 0.6666666666666666]",0.6510822510822509,3305391.0,3.028540849685669
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 353, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00011921733264724548, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6714113523428548, 'accuracy': 0.8103896103896103}","[0.5454545454545454, 0.5714285714285714, 0.9047619047619048, 0.9047619047619048, 0.7142857142857143]",0.7281385281385282,4769737.0,2.2428757190704345
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 280, 'num_layers': 4, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 8.388042055586999e-05, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.6305951142632517, 'accuracy': 0.7722943722943723}","[0.5909090909090909, 0.38095238095238093, 0.42857142857142855, 0.42857142857142855, 0.6190476190476191]",0.4896103896103896,9217042.0,3.4628437042236326
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 67, 'num_layers': 1, 'dropout_rate': 0.3572263266804236, 'bidirectional': False, 'attention': True, 'learning_rate': 2.8214081585268638e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6037442090778471, 'accuracy': 0.7549783549783549}","[0.7727272727272727, 0.5238095238095238, 0.9047619047619048, 0.9047619047619048, 0.5238095238095238]",0.7259740259740259,694523.0,2.8151535034179687
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 268, 'num_layers': 1, 'dropout_rate': 0.44557681023017076, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00017093664364660767, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5822306762945126, 'accuracy': 0.7432900432900432}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.5238095238095238]",0.7722943722943723,3370906.0,2.8529656410217283
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 284, 'num_layers': 2, 'dropout_rate': 0.38530448608605095, 'bidirectional': False, 'attention': True, 'learning_rate': 0.000535159893675609, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.578603216800943, 'accuracy': 0.7432900432900432}","[0.6818181818181818, 0.5238095238095238, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714]",0.5839826839826839,5562426.0,4.315365791320801
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 160, 'num_layers': 2, 'dropout_rate': 0.2605193023445239, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00030000000000000014, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5691654691009915, 'accuracy': 0.7458874458874459}","[0.9090909090909091, 0.5714285714285714, 0.47619047619047616, 0.7142857142857143, 0.47619047619047616]",0.6294372294372295,2439362.0,3.700033712387085
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 94, 'num_layers': 3, 'dropout_rate': 0.4460223087726686, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0033213883232570346, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5677188510457107, 'accuracy': 0.7242424242424242}","[0.9090909090909091, 0.3333333333333333, 0.5714285714285714, 0.5238095238095238, 0.47619047619047616]",0.5627705627705628,1429554.0,3.8506617069244387
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 78, 'num_layers': 2, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 5.684896913042121e-06, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.5671032448205542, 'accuracy': 0.7341991341991341}","[0.6818181818181818, 0.38095238095238093, 0.42857142857142855, 0.47619047619047616, 0.7142857142857143]",0.5363636363636364,965330.0,2.412803363800049
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 476, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0009539057980189639, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.56341219476134, 'accuracy': 0.7354978354978355}","[0.7727272727272727, 0.6666666666666666, 0.9047619047619048, 0.7619047619047619, 0.7142857142857143]",0.7640692640692641,7076218.0,3.9190284252166747
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 280, 'num_layers': 3, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 4.5000096489675566e-05, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.5488499606834094, 'accuracy': 0.7255411255411255}","[0.5909090909090909, 0.47619047619047616, 0.9047619047619048, 0.9047619047619048, 0.5714285714285714]",0.6896103896103896,7330962.0,4.130624914169312
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 408, 'num_layers': 2, 'dropout_rate': 0.2196901288642829, 'bidirectional': False, 'attention': True, 'learning_rate': 1.2172386878360865e-05, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5258333920208619, 'accuracy': 0.7056277056277056}","[0.7272727272727273, 0.6666666666666666, 0.42857142857142855, 0.5238095238095238, 0.8095238095238095]",0.6311688311688313,9761810.0,3.6007875919342043
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 109, 'num_layers': 2, 'dropout_rate': 0.4238320333998995, 'bidirectional': True, 'attention': True, 'learning_rate': 0.001367732793945948, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.5151107637045562, 'accuracy': 0.7051948051948053}","[0.5909090909090909, 0.42857142857142855, 0.9047619047619048, 0.47619047619047616, 0.5714285714285714]",0.5943722943722944,1467141.0,3.6259952545166017
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 167, 'num_layers': 2, 'dropout_rate': 0.3200088359455665, 'bidirectional': True, 'attention': True, 'learning_rate': 0.001367732793945948, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5149489649781761, 'accuracy': 0.6865800865800866}","[0.5909090909090909, 0.47619047619047616, 0.6190476190476191, 0.6666666666666666, 0.47619047619047616]",0.5658008658008657,2586831.0,3.1555140018463135
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.19632917453024357, 'bidirectional': False, 'attention': True, 'learning_rate': 1.2922884203099528e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5118304998752994, 'accuracy': 0.6987012987012987}","[0.9090909090909091, 0.6190476190476191, 0.9523809523809523, 0.47619047619047616, 0.38095238095238093]",0.6675324675324675,760706.0,4.190948581695556
3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 199, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0033213883232570346, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.45695511877138373, 'accuracy': 0.6510822510822509}","[0.9090909090909091, 0.47619047619047616, 0.9523809523809523, 0.9047619047619048, 0.5238095238095238]",0.7532467532467532,2351783.0,2.498045635223389
4,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 237, 'num_layers': 1, 'dropout_rate': 0.364867159147948, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0003480605973584207, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.6714113523428548, 'accuracy': 0.8103896103896103}","[0.9090909090909091, 0.42857142857142855, 0.9047619047619048, 0.6666666666666666, 0.7619047619047619]",0.7341991341991341,2899933.0,2.0128211975097656
4,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.43316821757293433, 'bidirectional': False, 'attention': True, 'learning_rate': 6.470388124546325e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.6305951142632517, 'accuracy': 0.7722943722943723}","[0.7272727272727273, 0.47619047619047616, 1.0, 0.42857142857142855, 0.5238095238095238]",0.631168831168831,760706.0,4.615956163406372
4,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 268, 'num_layers': 2, 'dropout_rate': 0.44557681023017076, 'bidirectional': False, 'attention': True, 'learning_rate': 7.994016746489625e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.6242458304525776, 'accuracy': 0.7722943722943723}","[0.7727272727272727, 0.3333333333333333, 0.9047619047619048, 0.9047619047619048, 0.5238095238095238]",0.6878787878787878,5098970.0,3.1533045291900637
